district,district_geocode
北京,110100
东城,110101
西城,110102
朝阳,110105
丰台,110106
石景山,110107
海淀,110108
门头沟,110109
房山,110111
通州,110112
顺义,110113
昌平,110114
大兴,110115
怀柔,110116
平谷,110117
密云,110118
延庆,110119
天津,120100
和平区,120101
河东区,120102
河西区,120103
南开区,120104
河北区,120105
红桥区,120106
东丽区,120110
西青区,120111
津南区,120112
北辰区,120113
武清区,120114
宝坻区,120115
滨海新区,120116
宁河区,120117
静海区,120118
蓟州区,120119
石家庄,130100
长安区,130102
桥西区,130104
新华区,130105
井陉矿区,130107
裕华,130108
藁城,130109
鹿泉,130110
栾城,130111
井陉,130121
正定,130123
行唐,130125
灵寿,130126
高邑,130127
深泽,130128
赞皇,130129
无极,130130
平山,130131
元氏,130132
赵县,130133
辛集,130181
晋州,130183
新乐,130184
唐山,130200
路南区,130202
路北区,130203
古冶,130204
开平区,130205
丰南,130207
丰润,130208
曹妃甸,130209
滦南,130224
乐亭,130225
迁西,130227
玉田,130229
遵化,130281
迁安,130283
滦州,130284
秦皇岛,130300
海港区,130302
山海关,130303
北戴河,130304
抚宁,130306
青龙,130321
昌黎,130322
卢龙,130324
邯郸,130400
邯山区,130402
丛台区,130403
复兴区,130404
峰峰,130406
肥乡,130407
永年,130408
临漳,130423
成安,130424
大名,130425
涉县,130426
磁县,130427
邱县,130430
鸡泽,130431
广平,130432
馆陶,130433
魏县,130434
曲周,130435
武安,130481
邢台,130500
桥东区,130502
桥西区,130503
邢台县,130521
临城,130522
内丘,130523
柏乡,130524
隆尧,130525
任县,130526
南和,130527
宁晋,130528
巨鹿,130529
新河,130530
广宗,130531
平乡,130532
威县,130533
清河,130534
临西,130535
南宫,130581
沙河,130582
保定,130600
竞秀,130602
莲池,130606
满城,130607
清苑,130608
徐水,130609
涞水,130623
阜平,130624
定兴,130626
唐县,130627
高阳,130628
容城,130629
涞源,130630
望都,130631
安新,130632
易县,130633
曲阳,130634
蠡县,130635
顺平,130636
博野,130637
雄县,130638
涿州,130681
定州,130682
安国,130683
高碑店,130684
张家口,130700
桥东区,130702
桥西区,130703
宣化,130705
下花园,130706
万全,130708
崇礼,130709
张北,130722
康保,130723
沽源,130724
尚义,130725
蔚县,130726
阳原,130727
怀安,130728
怀来,130730
涿鹿,130731
赤城,130732
承德,130800
双桥,130802
双滦,130803
鹰手营子,130804
承德县,130821
兴隆,130822
滦平,130824
隆化,130825
丰宁,130826
宽城,130827
围场,130828
平泉,130881
沧州,130900
新华区,130902
运河,130903
沧县,130921
青县,130922
东光,130923
海兴,130924
盐山,130925
肃宁,130926
南皮,130927
吴桥,130928
献县,130929
孟村,130930
泊头,130981
任丘,130982
黄骅,130983
河间,130984
廊坊,131000
安次,131002
广阳,131003
固安,131022
永清,131023
香河,131024
大城,131025
文安,131026
大厂,131028
霸州,131081
三河,131082
衡水,131100
桃城,131102
冀州,131103
枣强,131121
武邑,131122
武强,131123
饶阳,131124
安平,131125
故城,131126
景县,131127
阜城,131128
深州,131182
太原,140100
小店,140105
迎泽,140106
杏花岭,140107
尖草坪,140108
万柏林,140109
晋源,140110
清徐,140121
阳曲,140122
娄烦,140123
古交,140181
大同,140200
新荣,140212
平城,140213
云冈,140214
云州,140215
阳高,140221
天镇,140222
广灵,140223
灵丘,140224
浑源,140225
左云,140226
阳泉,140300
城区,140302
矿区,140303
郊区,140311
平定,140321
盂县,140322
长治,140400
潞州,140403
上党,140404
屯留,140405
潞城,140406
襄垣,140423
平顺,140425
黎城,140426
壶关,140427
长子,140428
武乡,140429
沁县,140430
沁源,140431
晋城,140500
城区,140502
沁水,140521
阳城,140522
陵川,140524
泽州,140525
高平,140581
朔州,140600
朔城,140602
平鲁,140603
山阴,140621
应县,140622
右玉,140623
怀仁,140681
晋中,140700
榆次,140702
榆社,140721
左权,140722
和顺,140723
昔阳,140724
寿阳,140725
太谷,140726
祁县,140727
平遥,140728
灵石,140729
介休,140781
运城,140800
盐湖,140802
临猗,140821
万荣,140822
闻喜,140823
稷山,140824
新绛,140825
绛县,140826
垣曲,140827
夏县,140828
平陆,140829
芮城,140830
永济,140881
河津,140882
忻州,140900
忻府,140902
定襄,140921
五台,140922
代县,140923
繁峙,140924
宁武,140925
静乐,140926
神池,140927
五寨,140928
岢岚,140929
河曲,140930
保德,140931
偏关,140932
原平,140981
临汾,141000
尧都,141002
曲沃,141021
翼城,141022
襄汾,141023
洪洞,141024
古县,141025
安泽,141026
浮山,141027
吉县,141028
乡宁,141029
大宁,141030
隰县,141031
永和,141032
蒲县,141033
汾西,141034
侯马,141081
霍州,141082
吕梁,141100
离石,141102
文水,141121
交城,141122
兴县,141123
临县,141124
柳林,141125
石楼,141126
岚县,141127
方山,141128
中阳,141129
交口,141130
孝义,141181
汾阳,141182
呼和浩特,150100
新城区,150102
回民区,150103
玉泉区,150104
赛罕区,150105
土左旗,150121
托克托,150122
和林格尔,150123
清水河,150124
武川,150125
包头,150200
东河区,150202
昆都仑区,150203
青山区,150204
石拐区,150205
白云鄂博,150206
九原区,150207
土右旗,150221
固阳,150222
达茂旗,150223
乌海,150300
海勃湾区,150302
海南区,150303
乌达,150304
赤峰,150400
红山,150402
元宝山,150403
松山,150404
阿鲁旗,150421
巴林左旗,150422
巴林右旗,150423
林西,150424
克什克腾旗,150425
翁牛特旗,150426
喀喇沁旗,150428
宁城,150429
敖汉旗,150430
通辽,150500
科尔沁区,150502
科左中旗,150521
科左后旗,150522
开鲁,150523
库伦旗,150524
奈曼旗,150525
扎鲁特旗,150526
霍林郭勒,150581
鄂尔多斯,150600
东胜,150602
康巴什,150603
达拉特旗,150621
准格尔旗,150622
鄂前旗,150623
鄂托克旗,150624
杭锦旗,150625
乌审旗,150626
伊金霍洛,150627
呼伦贝尔,150700
海拉尔,150702
扎赉诺尔,150703
阿荣旗,150721
莫力达瓦,150722
鄂伦春旗,150723
鄂温克旗,150724
陈旗,150725
新左旗,150726
新右旗,150727
满洲里,150781
牙克石,150782
扎兰屯,150783
额尔古纳,150784
根河,150785
巴彦淖尔,150800
临河,150802
五原,150821
磴口,150822
乌前旗,150823
乌中旗,150824
乌后旗,150825
杭锦后旗,150826
乌兰察布,150900
集宁,150902
卓资,150921
化德,150922
商都,150923
兴和,150924
凉城,150925
察右前旗,150926
察右中旗,150927
察右后旗,150928
四子王旗,150929
丰镇,150981
兴安盟,152200
乌兰浩特,152201
阿尔山,152202
科右前旗,152221
科右中旗,152222
扎赉特旗,152223
突泉,152224
锡林郭勒,152500
二连浩特,152501
锡林浩特,152502
阿巴嘎旗,152522
苏左旗,152523
苏右旗,152524
东乌旗,152525
西乌旗,152526
太仆寺旗,152527
镶黄旗,152528
正镶白旗,152529
正蓝旗,152530
多伦,152531
阿拉善,152900
阿左旗,152921
阿右旗,152922
额济纳旗,152923
沈阳,210100
和平区,210102
沈河区,210103
大东区,210104
皇姑区,210105
铁西区,210106
苏家屯,210111
浑南,210112
沈北新区,210113
于洪区,210114
辽中区,210115
康平,210123
法库,210124
新民,210181
大连,210200
中山区,210202
西岗区,210203
沙河口,210204
甘井子,210211
旅顺,210212
金州,210213
普兰店,210214
长海,210224
瓦房店,210281
庄河,210283
鞍山,210300
铁东区,210302
铁西区,210303
立山,210304
千山,210311
台安,210321
岫岩,210323
海城,210381
抚顺,210400
新抚区,210402
东洲区,210403
望花区,210404
顺城区,210411
抚顺县,210421
新宾,210422
清原,210423
本溪,210500
平山区,210502
溪湖,210503
明山,210504
南芬,210505
本溪县,210521
桓仁,210522
丹东,210600
元宝,210602
振兴,210603
振安,210604
宽甸,210624
东港,210681
凤城,210682
锦州,210700
古塔,210702
凌河,210703
太和区,210711
黑山,210726
义县,210727
凌海,210781
北镇,210782
营口,210800
站前区,210802
西市区,210803
鲅鱼圈,210804
老边区,210811
盖州,210881
大石桥,210882
阜新,210900
海州区,210902
新邱,210903
太平,210904
清河门,210905
细河,210911
阜新县,210921
彰武,210922
辽阳,211000
白塔区,211002
文圣区,211003
宏伟区,211004
弓长岭,211005
太子河,211011
辽阳县,211021
灯塔市,211081
盘锦,211100
双台子,211102
兴隆台,211103
大洼,211104
盘山,211122
铁岭,211200
银州,211202
清河区,211204
铁岭县,211221
西丰,211223
昌图,211224
调兵山,211281
开原,211282
朝阳,211300
双塔,211302
龙城,211303
朝阳县,211321
建平,211322
喀左,211324
北票,211381
凌源,211382
葫芦岛,211400
连山区,211402
龙港,211403
南票,211404
绥中,211421
建昌,211422
兴城,211481
长春,220100
南关,220102
宽城区,220103
朝阳区,220104
二道区,220105
绿园区,220106
双阳,220112
九台,220113
农安,220122
榆树,220182
德惠,220183
吉林,220200
昌邑区,220202
龙潭,220203
船营,220204
丰满,220211
永吉,220221
蛟河,220281
桦甸,220282
舒兰,220283
磐石,220284
四平,220300
铁西,220302
铁东,220303
梨树,220322
伊通,220323
公主岭,220381
双辽,220382
辽源,220400
龙山区,220402
西安区,220403
东丰,220421
东辽,220422
通化,220500
东昌区,220502
二道江,220503
通化县,220521
辉南,220523
柳河,220524
梅河口,220581
集安,220582
白山,220600
浑江,220602
江源,220605
抚松,220621
靖宇,220622
长白,220623
临江,220681
松原,220700
宁江,220702
前郭,220721
长岭,220722
乾安,220723
扶余,220781
白城,220800
洮北,220802
镇赉,220821
通榆,220822
洮南,220881
大安,220882
延边,222400
延吉,222401
图们,222402
敦化,222403
珲春,222404
龙井,222405
和龙,222406
汪清,222424
安图,222426
哈尔滨,230100
道里区,230102
南岗区,230103
道外区,230104
平房区,230108
松北区,230109
香坊区,230110
呼兰,230111
阿城,230112
双城区,230113
依兰,230123
方正,230124
宾县,230125
巴彦,230126
木兰,230127
通河,230128
延寿,230129
尚志,230183
五常,230184
齐齐哈尔,230200
龙沙,230202
建华,230203
铁锋,230204
昂昂溪,230205
富拉尔基,230206
碾子山,230207
梅里斯,230208
龙江,230221
依安,230223
泰来,230224
甘南县,230225
富裕,230227
克山,230229
克东,230230
拜泉,230231
讷河,230281
鸡西,230300
鸡冠区,230302
恒山区,230303
滴道区,230304
梨树区,230305
城子河,230306
麻山,230307
鸡东,230321
虎林,230381
密山,230382
鹤岗,230400
向阳区,230402
工农区,230403
南山区,230404
兴安区,230405
东山区,230406
兴山区,230407
萝北,230421
绥滨,230422
双鸭山,230500
尖山区,230502
岭东区,230503
四方台,230505
宝山区,230506
集贤,230521
友谊,230522
宝清,230523
饶河,230524
大庆,230600
萨尔图,230602
龙凤区,230603
让胡路,230604
红岗区,230605
大同区,230606
肇州,230621
肇源,230622
林甸,230623
杜尔伯特,230624
伊春,230700
伊春区,230702
南岔区,230703
友好区,230704
西林区,230705
翠峦,230706
新青,230707
美溪,230708
金山屯,230709
五营,230710
乌马河,230711
汤旺河,230712
带岭,230713
乌伊岭,230714
红星区,230715
上甘岭,230716
嘉荫,230722
铁力,230781
佳木斯,230800
向阳区,230803
前进区,230804
东风区,230805
郊区,230811
桦南,230822
桦川,230826
汤原,230828
同江,230881
富锦,230882
抚远,230883
七台河,230900
新兴区,230902
桃山区,230903
茄子河,230904
勃利,230921
牡丹江,231000
东安区,231002
阳明,231003
爱民,231004
西安区,231005
林口,231025
绥芬河,231081
海林,231083
宁安,231084
穆棱,231085
东宁,231086
黑河,231100
爱辉,231102
嫩江,231121
逊克,231123
孙吴,231124
北安,231181
五大连池,231182
绥化,231200
北林,231202
望奎,231221
兰西,231222
青冈,231223
庆安,231224
明水,231225
绥棱,231226
安达,231281
肇东,231282
海伦,231283
大兴安岭,232700
漠河,232701
呼玛,232721
塔河,232722
大兴安岭地区直辖,232723
上海,310100
黄浦,310101
徐汇,310104
长宁区,310105
静安,310106
普陀区,310107
虹口,310109
杨浦,310110
闵行,310112
宝山,310113
嘉定,310114
浦东新区,310115
金山,310116
松江,310117
青浦,310118
奉贤,310120
崇明,310151
南京,320100
玄武,320102
秦淮,320104
建邺,320105
鼓楼,320106
浦口,320111
栖霞区,320113
雨花台,320114
江宁,320115
六合,320116
溧水,320117
高淳,320118
无锡,320200
锡山,320205
惠山,320206
滨湖,320211
梁溪,320213
新吴,320214
江阴,320281
宜兴,320282
徐州,320300
鼓楼区,320302
云龙区,320303
贾汪,320305
泉山,320311
铜山,320312
丰县,320321
沛县,320322
睢宁,320324
新沂,320381
邳州,320382
常州,320400
天宁,320402
钟楼,320404
新北区,320411
武进,320412
金坛,320413
溧阳,320481
苏州,320500
虎丘,320505
吴中,320506
相城,320507
姑苏,320508
吴江,320509
苏州工业园区,320571
常熟,320581
张家港,320582
昆山,320583
太仓,320585
南通,320600
崇川,320602
港闸,320611
通州区,320612
如东,320623
启东,320681
如皋,320682
海门,320684
海安,320685
连云港,320700
连云,320703
海州,320706
赣榆,320707
东海,320722
灌云,320723
灌南,320724
淮安,320800
淮安区,320803
淮阴,320804
清江浦,320812
洪泽,320813
涟水,320826
盱眙,320830
金湖,320831
盐城,320900
亭湖,320902
盐都,320903
大丰,320904
响水,320921
滨海,320922
阜宁,320923
射阳,320924
建湖,320925
东台,320981
扬州,321000
广陵,321002
邗江,321003
江都,321012
宝应,321023
仪征,321081
高邮,321084
镇江,321100
京口,321102
润州,321111
丹徒,321112
丹阳,321181
扬中,321182
句容,321183
泰州,321200
海陵,321202
高港,321203
姜堰,321204
兴化,321281
靖江,321282
泰兴,321283
宿迁,321300
宿城,321302
宿豫,321311
沭阳,321322
泗阳,321323
泗洪,321324
杭州,330100
上城区,330102
下城区,330103
江干,330104
拱墅,330105
西湖,330106
滨江,330108
萧山,330109
余杭,330110
富阳,330111
临安,330112
桐庐,330122
淳安,330127
建德,330182
宁波,330200
海曙,330203
江北区,330205
北仑,330206
镇海,330211
鄞州,330212
奉化,330213
象山,330225
宁海,330226
余姚,330281
慈溪,330282
温州,330300
鹿城,330302
龙湾,330303
瓯海,330304
洞头,330305
永嘉,330324
平阳,330326
苍南,330327
文成,330328
泰顺,330329
瑞安,330381
乐清,330382
嘉兴,330400
南湖,330402
秀洲,330411
嘉善,330421
海盐,330424
海宁,330481
平湖,330482
桐乡,330483
湖州,330500
吴兴,330502
南浔,330503
德清,330521
长兴,330522
安吉,330523
绍兴,330600
越城,330602
柯桥,330603
上虞,330604
新昌,330624
诸暨,330681
嵊州,330683
金华,330700
婺城,330702
金东,330703
武义,330723
浦江,330726
磐安,330727
兰溪,330781
义乌,330782
东阳,330783
永康,330784
衢州,330800
柯城,330802
衢江,330803
常山,330822
开化,330824
龙游,330825
江山,330881
舟山,330900
定海,330902
普陀,330903
岱山,330921
嵊泗,330922
台州,331000
椒江,331002
黄岩,331003
路桥,331004
三门,331022
天台,331023
仙居,331024
温岭,331081
临海,331082
玉环,331083
丽水,331100
莲都,331102
青田,331121
缙云,331122
遂昌,331123
松阳,331124
云和,331125
庆元,331126
景宁,331127
龙泉,331181
合肥,340100
瑶海,340102
庐阳,340103
蜀山,340104
包河,340111
长丰,340121
肥东,340122
肥西,340123
庐江,340124
巢湖,340181
芜湖,340200
镜湖,340202
弋江,340203
鸠江,340207
三山,340208
芜湖县,340221
繁昌,340222
南陵,340223
无为,340225
蚌埠,340300
龙子湖,340302
蚌山,340303
禹会,340304
淮上,340311
怀远,340321
五河,340322
固镇,340323
淮南,340400
大通区,340402
田家庵,340403
谢家集,340404
八公山,340405
潘集,340406
凤台,340421
寿县,340422
马鞍山,340500
花山,340503
雨山,340504
博望,340506
当涂,340521
含山,340522
和县,340523
淮北,340600
杜集,340602
相山,340603
烈山,340604
濉溪,340621
铜陵,340700
铜官,340705
义安,340706
郊区,340711
枞阳,340722
安庆,340800
迎江,340802
大观,340803
宜秀,340811
怀宁,340822
太湖,340825
宿松,340826
望江,340827
岳西,340828
桐城,340881
潜山,340882
黄山,341000
屯溪,341002
黄山区,341003
徽州,341004
歙县,341021
休宁,341022
黟县,341023
祁门,341024
滁州,341100
琅琊,341102
南谯,341103
来安,341122
全椒,341124
定远,341125
凤阳,341126
天长,341181
明光,341182
阜阳,341200
颍州,341202
颍东,341203
颍泉,341204
临泉,341221
太和,341222
阜南,341225
颍上,341226
界首,341282
宿州,341300
埇桥,341302
砀山,341321
萧县,341322
灵璧,341323
泗县,341324
六安,341500
金安,341502
裕安,341503
叶集,341504
霍邱,341522
舒城,341523
金寨,341524
霍山,341525
亳州,341600
谯城,341602
涡阳,341621
蒙城,341622
利辛,341623
池州,341700
贵池,341702
东至,341721
石台,341722
青阳,341723
宣城,341800
宣州,341802
郎溪,341821
广德,341822
泾县,341823
绩溪,341824
旌德,341825
宁国,341881
福州,350100
鼓楼区,350102
台江区,350103
仓山,350104
马尾,350105
晋安,350111
长乐,350112
闽侯,350121
连江,350122
罗源,350123
闽清,350124
永泰,350125
平潭,350128
福清,350181
厦门,350200
思明,350203
海沧,350205
湖里,350206
集美,350211
同安,350212
翔安,350213
莆田,350300
城厢,350302
涵江,350303
荔城,350304
秀屿,350305
仙游,350322
三明,350400
梅列,350402
三元,350403
明溪,350421
清流,350423
宁化,350424
大田,350425
尤溪,350426
沙县,350427
将乐,350428
泰宁,350429
建宁,350430
永安,350481
泉州,350500
鲤城,350502
丰泽,350503
洛江,350504
泉港,350505
惠安,350521
安溪,350524
永春,350525
德化,350526
金门,350527
石狮,350581
晋江,350582
南安,350583
漳州,350600
芗城,350602
龙文,350603
云霄,350622
漳浦,350623
诏安,350624
长泰,350625
东山,350626
南靖,350627
平和,350628
华安,350629
龙海,350681
南平,350700
延平,350702
建阳,350703
顺昌,350721
浦城,350722
光泽,350723
松溪,350724
政和,350725
邵武,350781
武夷山,350782
建瓯,350783
龙岩,350800
新罗,350802
永定区,350803
长汀,350821
上杭,350823
武平,350824
连城,350825
漳平,350881
宁德,350900
蕉城,350902
霞浦,350921
古田,350922
屏南,350923
寿宁,350924
周宁,350925
柘荣,350926
福安,350981
福鼎,350982
南昌,360100
东湖区,360102
西湖区,360103
青云谱,360104
湾里,360105
青山湖,360111
新建区,360112
南昌县,360121
安义,360123
进贤,360124
景德镇,360200
昌江区,360202
珠山,360203
浮梁,360222
乐平,360281
萍乡,360300
安源,360302
湘东,360313
莲花,360321
上栗,360322
芦溪,360323
九江,360400
濂溪,360402
浔阳,360403
柴桑,360404
武宁,360423
修水,360424
永修,360425
德安,360426
都昌,360428
湖口,360429
彭泽,360430
瑞昌,360481
共青城,360482
庐山,360483
新余,360500
渝水,360502
分宜,360521
鹰潭,360600
月湖,360602
余江,360603
贵溪,360681
赣州,360700
章贡,360702
南康,360703
赣县,360704
信丰,360722
大余,360723
上犹,360724
崇义,360725
安远,360726
龙南,360727
定南,360728
全南,360729
宁都,360730
于都,360731
兴国,360732
会昌,360733
寻乌,360734
石城,360735
瑞金,360781
吉安,360800
吉州,360802
青原,360803
吉安县,360821
吉水,360822
峡江,360823
新干,360824
永丰,360825
泰和,360826
遂川,360827
万安,360828
安福,360829
永新,360830
井冈山,360881
宜春,360900
袁州,360902
奉新,360921
万载,360922
上高,360923
宜丰,360924
靖安,360925
铜鼓,360926
丰城,360981
樟树,360982
高安,360983
抚州,361000
临川,361002
东乡区,361003
南城,361021
黎川,361022
南丰,361023
崇仁,361024
乐安,361025
宜黄,361026
金溪,361027
资溪,361028
广昌,361030
上饶,361100
信州,361102
广丰,361103
上饶县,361121
玉山,361123
铅山,361124
横峰,361125
弋阳,361126
余干,361127
鄱阳,361128
万年,361129
婺源,361130
德兴,361181
济南,370100
历下,370102
市中,370103
槐荫,370104
天桥,370105
历城,370112
长清,370113
章丘,370114
济阳,370115
莱芜,370116
钢城,370117
平阴,370124
商河,370126
青岛,370200
市南区,370202
市北区,370203
黄岛,370211
崂山,370212
李沧,370213
城阳,370214
即墨,370215
胶州,370281
平度,370283
莱西,370285
淄博,370300
淄川,370302
张店,370303
博山,370304
临淄,370305
周村,370306
桓台,370321
高青,370322
沂源,370323
枣庄,370400
市中区,370402
薛城,370403
峄城,370404
台儿庄,370405
山亭,370406
滕州,370481
东营,370500
东营区,370502
河口区,370503
垦利,370505
利津,370522
广饶,370523
烟台,370600
芝罘,370602
福山,370611
牟平,370612
莱山,370613
长岛,370634
龙口,370681
莱阳,370682
莱州,370683
蓬莱,370684
招远,370685
栖霞,370686
海阳,370687
潍坊,370700
潍城,370702
寒亭,370703
坊子,370704
奎文,370705
临朐,370724
昌乐,370725
青州,370781
诸城,370782
寿光,370783
安丘,370784
高密,370785
昌邑,370786
济宁,370800
任城,370811
兖州,370812
微山,370826
鱼台,370827
金乡,370828
嘉祥,370829
汶上,370830
泗水,370831
梁山,370832
曲阜,370881
邹城,370883
泰安,370900
泰山,370902
岱岳,370911
宁阳,370921
东平,370923
新泰,370982
肥城,370983
威海,371000
环翠,371002
文登,371003
荣成,371082
乳山,371083
日照,371100
东港区,371102
岚山,371103
五莲,371121
莒县,371122
临沂,371300
兰山,371302
罗庄,371311
河东区,371312
沂南,371321
郯城,371322
沂水,371323
兰陵,371324
费县,371325
平邑,371326
莒南,371327
蒙阴,371328
临沭,371329
德州,371400
德城,371402
陵城,371403
宁津,371422
庆云,371423
临邑,371424
齐河,371425
平原,371426
夏津,371427
武城,371428
乐陵,371481
禹城,371482
聊城,371500
东昌府,371502
阳谷,371521
莘县,371522
茌平,371523
东阿,371524
冠县,371525
高唐,371526
临清,371581
滨州,371600
滨城,371602
沾化,371603
惠民,371621
阳信,371622
无棣,371623
博兴,371625
邹平,371681
菏泽,371700
牡丹,371702
定陶,371703
曹县,371721
单县,371722
成武,371723
巨野,371724
郓城,371725
鄄城,371726
东明,371728
郑州,410100
中原,410102
二七区,410103
管城,410104
金水,410105
上街,410106
惠济,410108
中牟,410122
巩义,410181
荥阳,410182
新密,410183
新郑,410184
登封,410185
开封,410200
龙亭,410202
顺河,410203
鼓楼区,410204
禹王台,410205
祥符,410212
杞县,410221
通许,410222
尉氏,410223
兰考,410225
洛阳,410300
老城区,410302
西工,410303
瀍河,410304
涧西,410305
吉利,410306
洛龙,410311
孟津,410322
新安,410323
栾川,410324
嵩县,410325
汝阳,410326
宜阳,410327
洛宁,410328
伊川,410329
偃师,410381
平顶山,410400
新华区,410402
卫东,410403
石龙,410404
湛河,410411
宝丰,410421
叶县,410422
鲁山,410423
郏县,410425
舞钢,410481
汝州,410482
安阳,410500
文峰,410502
北关,410503
殷都,410505
龙安,410506
安阳县,410522
汤阴,410523
滑县,410526
内黄,410527
林州,410581
鹤壁,410600
鹤山区,410602
山城,410603
淇滨,410611
浚县,410621
淇县,410622
新乡,410700
红旗,410702
卫滨,410703
凤泉,410704
牧野,410711
新乡县,410721
获嘉,410724
原阳,410725
延津,410726
封丘,410727
长垣,410728
卫辉,410781
辉县,410782
焦作,410800
解放,410802
中站,410803
马村,410804
山阳区,410811
修武,410821
博爱,410822
武陟,410823
温县,410825
沁阳,410882
孟州,410883
濮阳,410900
华龙,410902
清丰,410922
南乐,410923
范县,410926
台前,410927
濮阳县,410928
许昌,411000
魏都,411002
建安,411003
鄢陵,411024
襄城,411025
禹州,411081
长葛,411082
漯河,411100
源汇,411102
郾城,411103
召陵,411104
舞阳,411121
临颍,411122
三门峡,411200
湖滨区,411202
陕州,411203
渑池,411221
卢氏,411224
义马,411281
灵宝,411282
南阳,411300
宛城,411302
卧龙,411303
南召,411321
方城,411322
西峡,411323
镇平,411324
内乡,411325
淅川,411326
社旗,411327
唐河,411328
新野,411329
桐柏,411330
邓州,411381
商丘,411400
梁园,411402
睢阳,411403
民权,411421
睢县,411422
宁陵,411423
柘城,411424
虞城,411425
夏邑,411426
永城,411481
信阳,411500
浉河,411502
平桥,411503
罗山,411521
光山,411522
新县,411523
商城,411524
固始,411525
潢川,411526
淮滨,411527
息县,411528
周口,411600
川汇,411602
扶沟,411621
西华,411622
商水,411623
沈丘,411624
郸城,411625
淮阳,411626
太康,411627
鹿邑,411628
项城,411681
驻马店,411700
驿城,411702
西平,411721
上蔡,411722
平舆,411723
正阳,411724
确山,411725
泌阳,411726
汝南,411727
遂平,411728
新蔡,411729
济源,419001
武汉,420100
江岸,420102
江汉,420103
硚口,420104
汉阳,420105
武昌,420106
青山,420107
洪山,420111
东西湖,420112
汉南,420113
蔡甸,420114
江夏,420115
黄陂,420116
新洲,420117
黄石,420200
黄石港,420202
西塞山,420203
下陆,420204
铁山,420205
阳新,420222
大冶,420281
十堰,420300
茅箭,420302
张湾,420303
郧阳,420304
郧西,420322
竹山,420323
竹溪,420324
房县,420325
丹江口,420381
宜昌,420500
西陵,420502
伍家岗,420503
点军,420504
猇亭,420505
夷陵,420506
远安,420525
