district,district_geocode
兴山,420526
秭归,420527
长阳,420528
五峰,420529
宜都,420581
当阳,420582
枝江,420583
襄阳,420600
襄城区,420602
樊城,420606
襄州,420607
南漳,420624
谷城,420625
保康,420626
老河口,420682
枣阳,420683
宜城,420684
鄂州,420700
梁子湖,420702
华容区,420703
鄂城,420704
荆门,420800
东宝,420802
掇刀,420804
沙洋,420822
钟祥,420881
京山,420882
孝感,420900
孝南,420902
孝昌,420921
大悟,420922
云梦,420923
应城,420981
安陆,420982
汉川,420984
荆州,421000
沙市,421002
荆州区,421003
公安,421022
监利,421023
江陵,421024
石首,421081
洪湖,421083
松滋,421087
黄冈,421100
黄州,421102
团风,421121
红安,421122
罗田,421123
英山,421124
浠水,421125
蕲春,421126
黄梅,421127
麻城,421181
武穴,421182
咸宁,421200
咸安,421202
嘉鱼,421221
通城,421222
崇阳,421223
通山,421224
赤壁,421281
随州,421300
曾都,421303
随县,421321
广水,421381
恩施,422800
恩施市,422801
利川,422802
建始,422822
巴东,422823
宣恩,422825
咸丰,422826
来凤,422827
鹤峰,422828
仙桃,429004
潜江,429005
天门,429006
神农架,429021
长沙,430100
芙蓉,430102
天心,430103
岳麓,430104
开福,430105
雨花区,430111
望城,430112
长沙县,430121
浏阳,430181
宁乡,430182
株洲,430200
荷塘,430202
芦淞,430203
石峰,430204
天元,430211
渌口,430212
攸县,430223
茶陵,430224
炎陵,430225
醴陵,430281
湘潭,430300
雨湖,430302
岳塘,430304
湘潭县,430321
湘乡,430381
韶山,430382
衡阳,430400
珠晖,430405
雁峰,430406
石鼓,430407
蒸湘,430408
南岳,430412
衡阳县,430421
衡南,430422
衡山,430423
衡东,430424
祁东,430426
耒阳,430481
常宁,430482
邵阳,430500
双清,430502
大祥,430503
北塔,430511
邵东,430521
新邵,430522
邵阳县,430523
隆回,430524
洞口,430525
绥宁,430527
新宁,430528
城步,430529
武冈,430581
岳阳,430600
岳阳楼区,430602
云溪,430603
君山,430611
岳阳县,430621
华容,430623
湘阴,430624
平江,430626
汨罗,430681
临湘,430682
常德,430700
武陵,430702
鼎城,430703
安乡,430721
汉寿,430722
澧县,430723
临澧,430724
桃源,430725
石门,430726
津市,430781
张家界,430800
永定,430802
武陵源,430811
慈利,430821
桑植,430822
益阳,430900
资阳区,430902
赫山,430903
南县,430921
桃江,430922
安化,430923
沅江,430981
郴州,431000
北湖,431002
苏仙,431003
桂阳,431021
宜章,431022
永兴,431023
嘉禾,431024
临武,431025
汝城,431026
桂东,431027
安仁,431028
资兴,431081
永州,431100
零陵,431102
冷水滩,431103
祁阳,431121
东安,431122
双牌,431123
道县,431124
江永,431125
宁远,431126
蓝山,431127
新田,431128
江华,431129
怀化,431200
鹤城,431202
中方,431221
沅陵,431222
辰溪,431223
溆浦,431224
会同,431225
麻阳,431226
新晃,431227
芷江,431228
靖州,431229
通道,431230
洪江,431281
娄底,431300
娄星,431302
双峰,431321
新化,431322
冷水江,431381
涟源,431382
湘西,433100
吉首,433101
泸溪,433122
凤凰,433123
花垣,433124
保靖,433125
古丈,433126
永顺,433127
龙山,433130
广州,440100
荔湾,440103
越秀,440104
海珠,440105
天河,440106
白云,440111
黄埔,440112
番禺,440113
花都,440114
南沙区,440115
从化,440117
增城,440118
韶关,440200
武江,440203
浈江,440204
曲江,440205
始兴,440222
仁化,440224
翁源,440229
乳源,440232
新丰,440233
乐昌,440281
南雄,440282
深圳,440300
罗湖,440303
福田,440304
南山,440305
宝安,440306
龙岗,440307
盐田,440308
龙华,440309
坪山,440310
光明,440311
珠海,440400
香洲,440402
斗门,440403
金湾,440404
汕头,440500
龙湖,440507
金平区,440511
濠江,440512
潮阳,440513
潮南,440514
澄海,440515
南澳,440523
佛山,440600
禅城,440604
南海区,440605
顺德,440606
三水,440607
高明,440608
江门,440700
蓬江,440703
江海,440704
新会,440705
台山,440781
开平,440783
鹤山,440784
恩平,440785
湛江,440800
赤坎,440802
霞山,440803
坡头,440804
麻章,440811
遂溪,440823
徐闻,440825
廉江,440881
雷州,440882
吴川,440883
茂名,440900
茂南,440902
电白,440904
高州,440981
化州,440982
信宜,440983
肇庆,441200
端州,441202
鼎湖,441203
高要,441204
广宁,441223
怀集,441224
封开,441225
德庆,441226
四会,441284
惠州,441300
惠城,441302
惠阳,441303
博罗,441322
惠东,441323
龙门,441324
梅州,441400
梅江,441402
梅县,441403
大埔,441422
丰顺,441423
五华,441424
平远,441426
蕉岭,441427
兴宁,441481
汕尾,441500
城区,441502
海丰,441521
陆河,441523
陆丰,441581
河源,441600
源城,441602
紫金,441621
龙川,441622
连平,441623
和平,441624
东源,441625
阳江,441700
江城区,441702
阳东,441704
阳西,441721
阳春,441781
清远,441800
清城,441802
清新,441803
佛冈,441821
阳山,441823
连山,441825
连南,441826
英德,441881
连州,441882
东莞,441900
中山,442000
潮州,445100
湘桥,445102
潮安,445103
饶平,445122
揭阳,445200
榕城,445202
揭东,445203
揭西,445222
惠来,445224
普宁,445281
云浮,445300
云城,445302
云安,445303
新兴,445321
郁南,445322
罗定,445381
南宁,450100
兴宁区,450102
青秀,450103
江南区,450105
西乡塘,450107
良庆,450108
邕宁,450109
武鸣,450110
隆安,450123
马山,450124
上林,450125
宾阳,450126
横县,450127
柳州,450200
城中区,450202
鱼峰,450203
柳南,450204
柳北,450205
柳江,450206
柳城,450222
鹿寨,450223
融安,450224
融水,450225
三江,450226
桂林,450300
秀峰,450302
叠彩,450303
象山区,450304
七星,450305
雁山,450311
临桂,450312
阳朔,450321
灵川,450323
全州,450324
兴安,450325
永福,450326
灌阳,450327
龙胜,450328
资源,450329
平乐,450330
恭城,450332
荔浦,450381
梧州,450400
万秀,450403
长洲,450405
龙圩,450406
苍梧,450421
藤县,450422
蒙山,450423
岑溪,450481
北海,450500
海城区,450502
银海,450503
铁山港,450512
合浦,450521
防城港,450600
港口区,450602
防城,450603
上思,450621
东兴,450681
钦州,450700
钦南,450702
钦北,450703
灵山,450721
浦北,450722
贵港,450800
港北,450802
港南,450803
覃塘,450804
平南,450821
桂平,450881
玉林,450900
玉州,450902
福绵,450903
容县,450921
陆川,450922
博白,450923
兴业,450924
北流,450981
百色,451000
右江,451002
田阳,451021
田东,451022
平果,451023
德保,451024
那坡,451026
凌云,451027
乐业,451028
田林,451029
西林,451030
隆林,451031
靖西,451081
贺州,451100
八步,451102
平桂,451103
昭平,451121
钟山,451122
富川,451123
河池,451200
金城江,451202
宜州,451203
南丹,451221
天峨,451222
凤山,451223
东兰,451224
罗城,451225
环江,451226
巴马,451227
都安,451228
大化,451229
来宾,451300
兴宾,451302
忻城,451321
象州,451322
武宣,451323
金秀,451324
合山,451381
崇左,451400
江州,451402
扶绥,451421
宁明,451422
龙州,451423
大新,451424
天等,451425
凭祥,451481
海口,460100
秀英,460105
龙华区,460106
琼山,460107
美兰,460108
三亚,460200
海棠区,460202
吉阳区,460203
天涯区,460204
崖州区,460205
三沙,460300
西沙群岛,460321
南沙群岛,460322
中沙群岛,460323
儋州,460400
五指山,469001
琼海,469002
文昌,469005
万宁,469006
东方,469007
定安,469021
屯昌,469022
澄迈,469023
临高,469024
白沙,469025
昌江,469026
乐东,469027
陵水,469028
保亭,469029
琼中,469030
重庆,500100
万州,500101
涪陵,500102
渝中,500103
大渡口,500104
江北,500105
沙坪坝,500106
九龙坡,500107
南岸,500108
北碚,500109
綦江,500110
大足,500111
渝北,500112
巴南,500113
黔江,500114
长寿,500115
江津,500116
合川,500117
永川,500118
南川,500119
璧山,500120
铜梁,500151
潼南,500152
荣昌,500153
开州,500154
梁平,500155
武隆,500156
城口,500229
丰都,500230
垫江,500231
忠县,500233
云阳,500235
奉节,500236
巫山,500237
巫溪,500238
石柱,500240
秀山,500241
酉阳,500242
彭水,500243
成都,510100
锦江,510104
青羊,510105
金牛,510106
武侯,510107
成华,510108
龙泉驿,510112
青白江,510113
新都,510114
温江,510115
双流,510116
郫都,510117
金堂,510121
大邑,510129
蒲江,510131
新津,510132
都江堰,510181
彭州,510182
邛崃,510183
崇州,510184
简阳,510185
自贡,510300
自流井,510302
贡井,510303
大安区,510304
沿滩,510311
荣县,510321
富顺,510322
攀枝花,510400
东区,510402
西区,510403
仁和,510411
米易,510421
盐边,510422
泸州,510500
江阳,510502
纳溪,510503
龙马潭,510504
泸县,510521
合江,510522
叙永,510524
古蔺,510525
德阳,510600
旌阳,510603
罗江,510604
中江,510623
广汉,510681
什邡,510682
绵竹,510683
绵阳,510700
涪城,510703
游仙,510704
安州,510705
三台,510722
盐亭,510723
梓潼,510725
北川,510726
平武,510727
江油,510781
广元,510800
利州,510802
昭化,510811
朝天,510812
旺苍,510821
青川,510822
剑阁,510823
苍溪,510824
遂宁,510900
船山,510903
安居,510904
蓬溪,510921
射洪,510922
大英,510923
内江,511000
市中区,511002
东兴区,511011
威远,511024
资中,511025
隆昌,511083
乐山,511100
市中区,511102
沙湾区,511111
五通桥,511112
金口河,511113
犍为,511123
井研,511124
夹江,511126
沐川,511129
峨边,511132
马边,511133
峨眉山,511181
南充,511300
顺庆,511302
高坪,511303
嘉陵,511304
南部,511321
营山,511322
蓬安,511323
仪陇,511324
西充,511325
阆中,511381
眉山,511400
东坡,511402
彭山,511403
仁寿,511421
洪雅,511423
丹棱,511424
青神,511425
宜宾,511500
翠屏,511502
南溪,511503
叙州,511504
江安,511523
长宁,511524
高县,511525
珙县,511526
筠连,511527
兴文,511528
屏山,511529
广安,511600
广安区,511602
前锋,511603
岳池,511621
武胜,511622
邻水,511623
华蓥,511681
达州,511700
通川,511702
达川,511703
宣汉,511722
开江,511723
大竹,511724
渠县,511725
万源,511781
雅安,511800
雨城,511802
名山,511803
荥经,511822
汉源,511823
石棉,511824
天全,511825
芦山,511826
宝兴,511827
巴中,511900
巴州,511902
恩阳,511903
通江,511921
南江,511922
平昌,511923
资阳,512000
雁江,512002
安岳,512021
乐至,512022
阿坝,513200
马尔康,513201
汶川,513221
理县,513222
茂县,513223
松潘,513224
九寨沟,513225
金川,513226
小金,513227
黑水,513228
壤塘,513230
阿坝县,513231
若尔盖,513232
红原,513233
甘孜,513300
康定,513301
泸定,513322
丹巴,513323
九龙,513324
雅江,513325
道孚,513326
炉霍,513327
甘孜县,513328
新龙,513329
德格,513330
白玉,513331
石渠,513332
色达,513333
理塘,513334
巴塘,513335
乡城,513336
稻城,513337
得荣,513338
凉山,513400
西昌,513401
木里,513422
盐源,513423
德昌,513424
会理,513425
会东,513426
宁南,513427
普格,513428
布拖,513429
金阳,513430
昭觉,513431
喜德,513432
冕宁,513433
越西,513434
甘洛,513435
美姑,513436
雷波,513437
贵阳,520100
南明,520102
云岩,520103
花溪,520111
乌当,520112
白云区,520113
观山湖,520115
开阳,520121
息烽,520122
修文,520123
清镇,520181
六盘水,520200
钟山区,520201
六枝,520203
水城,520221
盘州,520281
遵义,520300
红花岗,520302
汇川,520303
播州,520304
桐梓,520322
绥阳,520323
正安,520324
道真,520325
务川,520326
凤冈,520327
湄潭,520328
余庆,520329
习水,520330
赤水,520381
仁怀,520382
安顺,520400
西秀,520402
平坝,520403
普定,520422
镇宁,520423
关岭,520424
紫云,520425
毕节,520500
七星关,520502
大方,520521
黔西,520522
金沙,520523
织金,520524
纳雍,520525
威宁,520526
赫章,520527
铜仁,520600
碧江,520602
万山,520603
江口,520621
玉屏,520622
石阡,520623
思南,520624
印江,520625
德江,520626
沿河,520627
松桃,520628
黔西南,522300
兴义,522301
兴仁,522302
普安,522323
晴隆,522324
贞丰,522325
望谟,522326
册亨,522327
安龙,522328
黔东南,522600
凯里,522601
黄平,522622
施秉,522623
三穗,522624
镇远,522625
岑巩,522626
天柱,522627
锦屏,522628
剑河,522629
台江,522630
黎平,522631
榕江,522632
从江,522633
雷山,522634
麻江,522635
丹寨,522636
黔南,522700
都匀,522701
福泉,522702
荔波,522722
贵定,522723
瓮安,522725
独山,522726
平塘,522727
罗甸,522728
长顺,522729
龙里,522730
惠水,522731
三都,522732
昆明,530100
五华区,530102
盘龙,530103
官渡,530111
西山,530112
东川,530113
呈贡,530114
晋宁,530115
富民,530124
宜良,530125
石林,530126
嵩明,530127
禄劝,530128
寻甸,530129
安宁,530181
曲靖,530300
麒麟,530302
沾益,530303
马龙,530304
陆良,530322
师宗,530323
罗平,530324
富源,530325
会泽,530326
宣威,530381
玉溪,530400
红塔,530402
江川,530403
澄江,530422
通海,530423
华宁,530424
易门,530425
峨山,530426
新平,530427
元江,530428
保山,530500
隆阳,530502
施甸,530521
龙陵,530523
昌宁,530524
腾冲,530581
昭通,530600
昭阳,530602
鲁甸,530621
巧家,530622
盐津,530623
大关,530624
永善,530625
绥江,530626
镇雄,530627
彝良,530628
威信,530629
水富,530681
丽江,530700
古城区,530702
玉龙,530721
永胜,530722
华坪,530723
宁蒗,530724
普洱,530800
思茅,530802
宁洱,530821
墨江,530822
景东,530823
景谷,530824
镇沅,530825
江城,530826
孟连,530827
澜沧,530828
西盟,530829
临沧,530900
临翔,530902
凤庆,530921
云县,530922
永德,530923
镇康,530924
双江,530925
耿马,530926
沧源,530927
楚雄,532300
楚雄市,532301
双柏,532322
牟定,532323
南华,532324
姚安,532325
大姚,532326
永仁,532327
元谋,532328
武定,532329
禄丰,532331
红河,532500
个旧,532501
开远,532502
蒙自,532503
弥勒,532504
屏边,532523
建水,532524
石屏,532525
泸西,532527
元阳,532528
红河县,532529
金平,532530
绿春,532531
河口,532532
文山,532600
文山市,532601
砚山,532622
西畴,532623
麻栗坡,532624
马关,532625
丘北,532626
广南,532627
富宁,532628
西双版纳,532800
景洪,532801
勐海,532822
勐腊,532823
大理,532900
大理市,532901
漾濞,532922
祥云,532923
宾川,532924
弥渡,532925
南涧,532926
巍山,532927
永平,532928
云龙,532929
洱源,532930
剑川,532931
鹤庆,532932
德宏,533100
瑞丽,533102
芒市,533103
梁河,533122
盈江,533123
陇川,533124
怒江,533300
泸水,533301
福贡,533323
贡山,533324
兰坪,533325
迪庆,533400
香格里拉,533401
德钦,533422
维西,533423
拉萨,540100
城关区,540102
堆龙德庆,540103
达孜,540104
林周,540121
当雄,540122
尼木,540123
曲水,540124
墨竹工卡,540127
日喀则,540200
桑珠孜,540202
南木林,540221
江孜,540222
定日,540223
萨迦,540224
拉孜,540225
昂仁,540226
谢通门,540227
白朗,540228
仁布,540229
康马,540230
定结,540231
仲巴,540232
亚东,540233
吉隆,540234
聂拉木,540235
萨嘎,540236
岗巴,540237
昌都,540300
卡若,540302
江达,540321
贡觉,540322
类乌齐,540323
丁青,540324
察雅,540325
八宿,540326
左贡,540327
芒康,540328
洛隆,540329
边坝,540330
林芝,540400
巴宜,540402
工布江达,540421
米林,540422
墨脱,540423
波密,540424
察隅,540425
朗县,540426
山南,540500
乃东,540502
扎囊,540521
贡嘎,540522
桑日,540523
琼结,540524
曲松,540525
措美,540526
洛扎,540527
加查,540528
隆子,540529
错那,540530
浪卡子,540531
那曲,540600
色尼,540602
嘉黎,540621
比如,540622
聂荣,540623
安多,540624
申扎,540625
索县,540626
班戈,540627
巴青,540628
尼玛,540629
双湖,540630
阿里地区,542500
普兰,542521
札达,542522
噶尔,542523
日土,542524
革吉,542525
改则,542526
措勤,542527
西安,610100
新城区,610102
碑林,610103
莲湖,610104
灞桥,610111
未央,610112
雁塔,610113
阎良,610114
临潼,610115
长安,610116
高陵,610117
鄠邑,610118
蓝田,610122
周至,610124
铜川,610200
王益,610202
印台,610203
耀州,610204
宜君,610222
宝鸡,610300
渭滨,610302
金台,610303
陈仓,610304
凤翔,610322
岐山,610323
扶风,610324
眉县,610326
陇县,610327
千阳,610328
麟游,610329
凤县,610330
太白,610331
咸阳,610400
秦都,610402
杨陵,610403
渭城,610404
三原,610422
泾阳,610423
乾县,610424
礼泉,610425
永寿,610426
长武,610428
旬邑,610429
淳化,610430
武功,610431
兴平,610481
彬州,610482
渭南,610500
临渭,610502
华州,610503
潼关,610522
大荔,610523
合阳,610524
澄城,610525
蒲城,610526
白水,610527
富平,610528
韩城,610581
华阴,610582
延安,610600
宝塔,610602
安塞,610603
延长,610621
延川,610622
子长,610623
志丹,610625
吴起,610626
甘泉,610627
富县,610628
洛川,610629
宜川,610630
黄龙,610631
黄陵,610632
汉中,610700
汉台,610702
南郑,610703
城固,610722
洋县,610723
西乡,610724
勉县,610725
宁强,610726
略阳,610727
镇巴,610728
留坝,610729
佛坪,610730
榆林,610800
榆阳,610802
横山,610803
府谷,610822
靖边,610824
定边,610825
绥德,610826
米脂,610827
佳县,610828
吴堡,610829
清涧,610830
子洲,610831
神木,610881
安康,610900
汉滨,610902
汉阴,610921
石泉,610922
宁陕,610923
紫阳,610924
岚皋,610925
平利,610926
镇坪,610927
旬阳,610928
白河,610929
商洛,611000
商州,611002
洛南,611021
丹凤,611022
商南,611023
山阳,611024
镇安,611025
柞水,611026
兰州,620100
城关,620102
七里河,620103
西固,620104
安宁区,620105
红古,620111
永登,620121
皋兰,620122
榆中,620123
嘉峪关,620200
金昌,620300
金川区,620302
永昌,620321
白银,620400
白银区,620402
平川,620403
靖远,620421
会宁,620422
景泰,620423
天水,620500
秦州,620502
麦积,620503
清水,620521
秦安,620522
甘谷,620523
武山,620524
张家川,620525
武威,620600
凉州,620602
民勤,620621
古浪,620622
天祝,620623
张掖,620700
甘州,620702
肃南,620721
民乐,620722
临泽,620723
高台,620724
山丹,620725
平凉,620800
崆峒,620802
泾川,620821
灵台,620822
崇信,620823
庄浪,620825
静宁,620826
华亭,620881
酒泉,620900
肃州,620902
金塔,620921
瓜州,620922
肃北,620923
阿克塞,620924
玉门,620981
敦煌,620982
庆阳,621000
西峰,621002
庆城,621021
环县,621022
华池,621023
合水,621024
正宁,621025
宁县,621026
镇原,621027
定西,621100
安定,621102
通渭,621121
陇西,621122
渭源,621123
临洮,621124
漳县,621125
岷县,621126
陇南,621200
武都,621202
成县,621221
文县,621222
宕昌,621223
康县,621224
西和,621225
礼县,621226
徽县,621227
两当,621228
临夏,622900
临夏市,622901
临夏县,622921
康乐,622922
永靖,622923
广河,622924
和政,622925
东乡,622926
积石山,622927
甘南,623000
合作,623001
临潭,623021
卓尼,623022
舟曲,623023
迭部,623024
玛曲,623025
碌曲,623026
夏河,623027
西宁,630100
城东区,630102
城中区,630103
城西区,630104
城北区,630105
大通,630121
湟中,630122
湟源,630123
海东,630200
乐都,630202
平安,630203
民和,630222
互助,630223
化隆,630224
循化,630225
海北,632200
门源,632221
祁连,632222
海晏,632223
刚察,632224
黄南,632300
同仁,632321
尖扎,632322
泽库,632323
河南,632324
海南,632500
共和,632521
同德,632522
贵德,632523
兴海,632524
贵南,632525
果洛,632600
玛沁,632621
班玛,632622
甘德,632623
达日,632624
久治,632625
玛多,632626
玉树,632700
玉树市,632701
杂多,632722
称多,632723
治多,632724
囊谦,632725
曲麻莱,632726
海西,632800
格尔木,632801
德令哈,632802
茫崖,632803
乌兰,632821
都兰,632822
天峻,632823
银川,640100
兴庆,640104
西夏,640105
金凤,640106
永宁,640121
贺兰,640122
灵武,640181
石嘴山,640200
大武口,640202
惠农,640205
平罗,640221
吴忠,640300
利通,640302
红寺堡,640303
盐池,640323
同心,640324
青铜峡,640381
固原,640400
原州,640402
西吉,640422
隆德,640423
泾源,640424
彭阳,640425
中卫,640500
沙坡头,640502
中宁,640521
海原,640522
乌鲁木齐,650100
天山,650102
沙依巴克,650103
新市区,650104
水磨沟,650105
头屯河,650106
达坂城,650107
米东,650109
乌鲁木齐县,650121
克拉玛依,650200
独山子,650202
克拉玛依区,650203
白碱滩,650204
乌尔禾,650205
吐鲁番,650400
高昌,650402
鄯善,650421
托克逊,650422
哈密,650500
伊州,650502
巴里坤,650521
伊吾,650522
昌吉,652300
昌吉市,652301
阜康,652302
呼图壁,652323
玛纳斯,652324
奇台,652325
吉木萨尔,652327
木垒,652328
博尔塔拉,652700
博乐,652701
阿拉山口,652702
精河,652722
温泉,652723
巴音郭楞,652800
库尔勒,652801
轮台,652822
尉犁,652823
若羌,652824
且末,652825
焉耆,652826
和静,652827
和硕,652828
博湖,652829
阿克苏,652900
阿克苏市,652901
温宿,652922
库车,652902
沙雅,652924
新和,652925
拜城,652926
乌什,652927
阿瓦提,652928
柯坪,652929
克孜勒苏,653000
阿图什,653001
阿克陶,653022
阿合奇,653023
乌恰,653024
喀什,653100
喀什市,653101
疏附,653121
疏勒,653122
英吉沙,653123
泽普,653124
莎车,653125
叶城,653126
麦盖提,653127
岳普湖,653128
伽师,653129
巴楚,653130
塔什库尔干,653131
和田,653200
和田市,653201
和田县,653221
墨玉,653222
皮山,653223
洛浦,653224
策勒,653225
于田,653226
民丰,653227
伊犁,654000
伊宁,654002
奎屯,654003
霍尔果斯,654004
伊宁县,654021
察布查尔,654022
霍城,654023
巩留,654024
新源,654025
昭苏,654026
特克斯,654027
尼勒克,654028
塔城,654200
塔城市,654201
乌苏,654202
额敏,654221
沙湾,654223
托里,654224
裕民,654225
和布克赛尔,654226
阿勒泰,654300
阿勒泰市,654301
布尔津,654321
富蕴,654322
福海,654323
哈巴河,654324
青河,654325
吉木乃,654326
石河子,659001
阿拉尔,659002
图木舒克,659003
五家渠,659004
北屯,659005
铁门关,659006
双河,659007
可克达拉,659008
昆玉,659009
香港,810100
中西区,810101
东区,810102
九龙城区,810103
观塘区,810104
南区,810105
深水埗区,810106
湾仔区,810107
黄大仙区,810108
油尖旺区,810109
离岛区,810110
葵青区,810111
新界,810111
北区,810112
西贡区,810113
沙田区,810114
屯门区,810115
大埔区,810116
荃湾区,810117
元朗区,810118
花王堂区,820001
望德堂区,820002
风顺堂区,820003
圣方济各堂区,820004
嘉模堂区,820005
大堂区,820006
路氹填海区,820007
花地玛堂区,820008
澳门,820010
台北,710113
北投区,710101
松山区,710102
大同区,710103
文山区,710104
信义区,710105
内湖区,710106
中正区,710107
万华区,710108
中山区,710109
士林区,710110
南港区,710111
大安区,710112
高雄,710239
小港区,710201
左营区,710202
大寮区,710203
那玛夏区,710204
旗津区,710205
弥陀区,710206
燕巢区,710207
大树区,710208
阿莲区,710209
楠梓区,710210
鸟松区,710211
苓雅区,710212
桥头区,710213
梓官区,710214
美浓区,710215
仁武区,710216
凤山区,710217
甲仙区,710218
茄萣区,710219
大社区,710220
前镇区,710221
茂林区,710222
湖内区,710223
六龟区,710224
林园区,710225
内门区,710226
鼓山区,710227
杉林区,710228
三民区,710229
前金区,710230
冈山区,710231
田寮区,710232
桃源区,710233
盐埕区,710234
旗山区,710235
永安区,710236
路竹区,710237
新兴区,710238
新北市,710330
八里区,710301
三峡区,710302
新庄区,710303
坪林区,710304
莺歌区,710305
汐止区,710306
深坑区,710307
芦洲区,710308
三芝区,710309
三重区,710310
平溪区,710311
中和区,710312
永和区,710313
泰山区,710314
土城区,710315
石碇区,710316
五股区,710317
林口区,710318
双溪区,710319
树林区,710320
板桥区,710321
新店区,710322
乌来区,710323
贡寮区,710324
金山区,710325
万里区,710326
淡水区,710327
瑞芳区,710328
石门区,710329
台中市,710430
东区,710401
新社区,710402
中区,710403
南屯区,710404
神冈区,710405
沙鹿区,710406
丰原区,710407
大里区,710408
龙井区,710409
西区,710410
南区,710411
西屯区,710412
太平区,710413
北屯区,710414
大雅区,710415
石冈区,710416
北区,710417
大甲区,710418
梧栖区,710419
东势区,710420
和平区,710421
雾峰区,710422
乌日区,710423
后里区,710424
潭子区,710425
大肚区,710426
外埔区,710427
清水区,710428
大安区,710429
台南市,710538
安定区,710501
大内区,710502
东山区,710503
下营区,710504
山上区,710505
永康区,710506
新营区,710507
白河区,710508
盐水区,710509
归仁区,710510
龙崎区,710511
关庙区,710512
仁德区,710513
学甲区,710514
善化区,710515
新市区,710516
佳里区,710517
新化区,710518
西港区,710519
麻豆区,710520
安南区,710521
后壁区,710522
柳营区,710523
玉井区,710524
官田区,710525
东区,710526
六甲区,710527
中西区,710528
北区,710529
楠西区,710530
南化区,710531
左镇区,710532
南区,710533
安平区,710534
北门区,710535
七股区,710536
将军区,710537
桃园市,710616
平镇市,710601
杨梅市,710602
八德市,710603
桃园区,710604
龟山乡,710605
复兴乡,710606
芦竹乡,710607
观音乡,710608
龙潭乡,710609
大溪镇,710610
大园乡,710611
新屋乡,710612
中坜市,710613
基隆,719001
新竹市,719002
嘉义市,719003
新竹县,719004
宜兰县,719005
苗栗县,719006
彰化县,719007
云林县,719008
南投县,719009
嘉义县,719010
屏东县,719011
台东县,719012
花莲县,719013
澎湖县,719014
